,NO_PAI,NO,Abertura,PER,VAZAO,PROB
372,372,373,1,13,1036.0,1.0
373,1,374,32,2,3621.0,0.02
374,374,375,1,3,2964.0,1.0
375,375,376,1,4,1063.0,1.0
376,376,377,1,5,806.0,1.0
377,377,378,1,6,495.0,1.0
378,378,379,1,7,727.0,1.0
379,379,380,1,8,618.0,1.0
380,380,381,1,9,433.0,1.0
381,381,382,1,10,352.0,1.0
382,382,383,1,11,648.0,1.0
383,383,384,1,12,658.0,1.0
384,384,385,1,13,1128.0,1.0
385,1,386,33,2,3621.0,0.02
386,386,387,1,3,1616.0,1.0
387,387,388,1,4,994.0,1.0
388,388,389,1,5,942.0,1.0
389,389,390,1,6,1034.0,1.0
390,390,391,1,7,527.0,1.0
391,391,392,1,8,581.0,1.0
392,392,393,1,9,380.0,1.0
393,393,394,1,10,388.0,1.0
394,394,395,1,11,521.0,1.0
395,395,396,1,12,716.0,1.0
396,396,397,1,13,988.0,1.0
397,1,398,34,2,594.0,0.02
398,398,399,1,3,3125.0,1.0
399,399,400,1,4,1547.0,1.0
400,400,401,1,5,366.0,1.0
401,401,402,1,6,495.0,1.0
402,402,403,1,7,428.0,1.0
403,403,404,1,8,385.0,1.0
404,404,405,1,9,301.0,1.0
405,405,406,1,10,538.0,1.0
406,406,407,1,11,662.0,1.0
407,407,408,1,12,714.0,1.0
408,408,409,1,13,1255.0,1.0
409,1,410,35,2,1210.0,0.02
410,410,411,1,3,1535.0,1.0
411,411,412,1,4,806.0,1.0
412,412,413,1,5,2327.0,1.0
413,413,414,1,6,632.0,1.0
414,414,415,1,7,784.0,1.0
415,415,416,1,8,385.0,1.0
416,416,417,1,9,495.0,1.0
417,417,418,1,10,307.0,1.0
418,418,419,1,11,210.0,1.0
419,419,420,1,12,295.0,1.0
420,420,421,1,13,2073.0,1.0
421,1,422,36,2,1919.0,0.02
422,422,423,1,3,2092.0,1.0
423,423,424,1,4,1365.0,1.0
424,424,425,1,5,777.0,1.0
425,425,426,1,6,629.0,1.0
426,426,427,1,7,532.0,1.0
427,427,428,1,8,676.0,1.0
428,428,429,1,9,313.0,1.0
429,429,430,1,10,462.0,1.0
430,430,431,1,11,400.0,1.0
431,431,432,1,12,1188.0,1.0
432,432,433,1,13,1474.0,1.0
433,1,434,37,2,795.0,0.02
434,434,435,1,3,1646.0,1.0
435,435,436,1,4,1326.0,1.0
436,436,437,1,5,494.0,1.0
437,437,438,1,6,579.0,1.0
438,438,439,1,7,532.0,1.0
439,439,440,1,8,534.0,1.0
440,440,441,1,9,311.0,1.0
441,441,442,1,10,241.0,1.0
442,442,443,1,11,443.0,1.0
443,443,444,1,12,525.0,1.0
444,444,445,1,13,1337.0,1.0
445,1,446,38,2,707.0,0.02
446,446,447,1,3,1489.0,1.0
447,447,448,1,4,1467.0,1.0
448,448,449,1,5,1063.0,1.0
449,449,450,1,6,611.0,1.0
450,450,451,1,7,354.0,1.0
451,451,452,1,8,422.0,1.0
452,452,453,1,9,347.0,1.0
453,453,454,1,10,352.0,1.0
454,454,455,1,11,272.0,1.0
455,455,456,1,12,435.0,1.0
456,456,457,1,13,544.0,1.0
457,1,458,39,2,2248.0,0.02
458,458,459,1,3,2406.0,1.0
459,459,460,1,4,1826.0,1.0
460,460,461,1,5,1232.0,1.0
461,461,462,1,6,771.0,1.0
462,462,463,1,7,628.0,1.0
463,463,464,1,8,504.0,1.0
464,464,465,1,9,590.0,1.0
465,465,466,1,10,558.0,1.0
466,466,467,1,11,769.0,1.0
467,467,468,1,12,590.0,1.0
468,468,469,1,13,1345.0,1.0
469,1,470,40,2,955.0,0.02
470,470,471,1,3,1721.0,1.0
471,471,472,1,4,1619.0,1.0
472,472,473,1,5,807.0,1.0
473,473,474,1,6,630.0,1.0
474,474,475,1,7,637.0,1.0
475,475,476,1,8,638.0,1.0
476,476,477,1,9,416.0,1.0
