iter,est,noUso,usina,Indep,Coef
2,3,57,6,11579.999999999993,-9.999999999999998
3,3,57,6,24740.000000000004,-30.0
4,3,57,6,0.0,0.0
5,3,57,6,0.0,0.0
6,3,57,6,0.0,0.0
7,3,57,6,0.0,0.0
8,3,57,6,0.0,0.0
9,3,57,6,0.0,0.0
10,3,57,6,0.0,0.0
1,3,60,6,14929.999999999998,-30.0
2,3,60,6,8309.999999999995,-9.999999999999998
3,3,60,6,14930.000000000004,-30.0
4,3,60,6,0.0,0.0
5,3,60,6,0.0,0.0
6,3,60,6,0.0,0.0
7,3,60,6,0.0,0.0
8,3,60,6,0.0,0.0
9,3,60,6,0.0,0.0
10,3,60,6,0.0,0.0
1,3,63,6,31429.999999999993,-30.0
2,3,63,6,13809.99999999999,-9.999999999999998
3,3,63,6,31430.0,-30.0
4,3,63,6,0.0,0.0
5,3,63,6,0.0,0.0
6,3,63,6,0.0,0.0
7,3,63,6,0.0,0.0
8,3,63,6,0.0,0.0
9,3,63,6,0.0,0.0
10,3,63,6,0.0,0.0
1,3,66,6,32689.999999999993,-30.0
2,3,66,6,14229.99999999999,-9.999999999999998
3,3,66,6,32690.0,-30.0
4,3,66,6,0.0,0.0
5,3,66,6,0.0,0.0
6,3,66,6,0.0,0.0
7,3,66,6,0.0,0.0
8,3,66,6,0.0,0.0
9,3,66,6,0.0,0.0
10,3,66,6,0.0,0.0
1,3,69,6,22610.000000000004,-30.0
2,3,69,6,10869.999999999998,-9.999999999999998
3,3,69,6,22610.0,-30.0
4,3,69,6,0.0,0.0
5,3,69,6,0.0,0.0
6,3,69,6,0.0,0.0
7,3,69,6,0.0,0.0
8,3,69,6,0.0,0.0
9,3,69,6,0.0,0.0
10,3,69,6,0.0,0.0
1,3,72,6,38420.00000000001,-30.0
2,3,72,6,16139.999999999998,-9.999999999999998
3,3,72,6,38420.0,-30.0
4,3,72,6,0.0,0.0
5,3,72,6,0.0,0.0
6,3,72,6,0.0,0.0
7,3,72,6,0.0,0.0
8,3,72,6,0.0,0.0
9,3,72,6,0.0,0.0
10,3,72,6,0.0,0.0
1,3,75,6,36680.0,-30.0
2,3,75,6,15559.999999999993,-9.999999999999998
3,3,75,6,36680.0,-30.0
4,3,75,6,0.0,0.0
5,3,75,6,0.0,0.0
6,3,75,6,0.0,0.0
7,3,75,6,0.0,0.0
8,3,75,6,0.0,0.0
9,3,75,6,0.0,0.0
10,3,75,6,0.0,0.0
1,3,78,6,26570.000000000004,-30.0
2,3,78,6,12189.999999999998,-9.999999999999998
3,3,78,6,26570.0,-30.0
4,3,78,6,0.0,0.0
5,3,78,6,0.0,0.0
6,3,78,6,0.0,0.0
7,3,78,6,0.0,0.0
8,3,78,6,0.0,0.0
9,3,78,6,0.0,0.0
10,3,78,6,0.0,0.0
1,3,81,6,41540.0,-30.0
2,3,81,6,41540.0,-30.0
3,3,81,6,41540.0,-30.0
4,3,81,6,0.0,0.0
5,3,81,6,0.0,0.0
6,3,81,6,0.0,0.0
7,3,81,6,0.0,0.0
8,3,81,6,0.0,0.0
9,3,81,6,0.0,0.0
10,3,81,6,0.0,0.0
