etapa,iter,miniIter,est,node,ilha,codigoBarra,generation,demanda,potenciaLiquida,deficit
BACKWARD,2,0,1,1,1,4,700.0,650.0,50.0,0.0
BACKWARD,2,0,1,1,1,5,0.0,650.0,-650.0,0.0
BACKWARD,2,0,1,1,1,6,0.0,650.0,-650.0,0.0
BACKWARD,3,0,5,5,1,1,275.0,0.0,275.0,0.0
BACKWARD,3,0,5,5,1,2,1000.0,0.0,1000.0,0.0
BACKWARD,3,0,5,5,1,3,0.0,0.0,0.0,0.0
BACKWARD,3,0,5,5,1,4,675.0,650.0,25.0,0.0
BACKWARD,3,0,5,5,1,5,0.0,650.0,-650.0,0.0
BACKWARD,3,0,5,5,1,6,0.0,650.0,-650.0,0.0
BACKWARD,3,0,4,4,1,1,300.0,0.0,300.0,0.0
BACKWARD,3,0,4,4,1,2,1000.0,0.0,1000.0,0.0
BACKWARD,3,0,4,4,1,3,448.0,0.0,448.0,0.0
BACKWARD,3,0,4,4,1,4,700.0,816.0,-116.0,0.0
BACKWARD,3,0,4,4,1,5,0.0,816.0,-816.0,0.0
BACKWARD,3,0,4,4,1,6,0.0,816.0,-816.0,0.0
BACKWARD,3,0,3,3,1,1,275.0,0.0,275.0,0.0
BACKWARD,3,0,3,3,1,2,1000.0,0.0,1000.0,0.0
BACKWARD,3,0,3,3,1,3,0.0,0.0,0.0,0.0
BACKWARD,3,0,3,3,1,4,675.0,650.0,25.0,0.0
BACKWARD,3,0,3,3,1,5,0.0,650.0,-650.0,0.0
BACKWARD,3,0,3,3,1,6,0.0,650.0,-650.0,0.0
BACKWARD,3,0,2,2,1,1,46.0,0.0,46.0,0.0
BACKWARD,3,0,2,2,1,2,1000.0,0.0,1000.0,0.0
BACKWARD,3,0,2,2,1,3,204.0,0.0,204.0,0.0
BACKWARD,3,0,2,2,1,4,700.0,650.0,50.0,0.0
BACKWARD,3,0,2,2,1,5,0.0,650.0,-650.0,0.0
BACKWARD,3,0,2,2,1,6,0.0,650.0,-650.0,0.0
BACKWARD,3,0,1,1,1,1,0.0,0.0,0.0,0.0
BACKWARD,3,0,1,1,1,2,1000.0,0.0,1000.0,0.0
BACKWARD,3,0,1,1,1,3,250.0,0.0,250.0,0.0
BACKWARD,3,0,1,1,1,4,700.0,650.0,50.0,0.0
BACKWARD,3,0,1,1,1,5,0.0,650.0,-650.0,0.0
BACKWARD,3,0,1,1,1,6,0.0,650.0,-650.0,0.0
