etapa,iter,miniIter,est,node,ilha,codigoBarraDE,codigoBarraPARA,capacidade,fluxo,folga
FORWARD,2,1,5,5,1,3,5,500.0,41.5,-9999.0
FORWARD,2,1,5,5,1,3,6,500.0,205.7,-9999.0
FORWARD,2,1,5,5,1,4,5,500.0,155.8,-9999.0
FORWARD,2,1,5,5,1,5,6,500.0,32.6,-9999.0
FORWARD,3,1,1,1,1,1,2,500.0,-113.7,-9999.0
FORWARD,3,1,1,1,1,1,4,500.0,-45.2,-9999.0
FORWARD,3,1,1,1,1,1,5,500.0,158.9,-9999.0
FORWARD,3,1,1,1,1,2,3,500.0,162.5,-9999.0
FORWARD,3,1,1,1,1,2,4,500.0,137.0,-9999.0
FORWARD,3,1,1,1,1,2,5,500.0,234.8,-9999.0
FORWARD,3,1,1,1,1,2,6,500.0,352.1,-9999.0
FORWARD,3,1,1,1,1,3,5,500.0,114.6,-9999.0
FORWARD,3,1,1,1,1,3,6,500.0,298.0,-9999.0
FORWARD,3,1,1,1,1,4,5,500.0,141.8,-9999.0
FORWARD,3,1,1,1,1,5,6,500.0,-0.0,-9999.0
FORWARD,3,1,2,2,1,1,2,500.0,-95.2,-9999.0
FORWARD,3,1,2,2,1,1,4,500.0,-31.7,-9999.0
FORWARD,3,1,2,2,1,1,5,500.0,172.9,-9999.0
FORWARD,3,1,2,2,1,2,3,500.0,178.2,-9999.0
FORWARD,3,1,2,2,1,2,4,500.0,127.1,-9999.0
FORWARD,3,1,2,2,1,2,5,500.0,236.3,-9999.0
FORWARD,3,1,2,2,1,2,6,500.0,363.2,-9999.0
FORWARD,3,1,2,2,1,3,5,500.0,101.3,-9999.0
FORWARD,3,1,2,2,1,3,6,500.0,281.0,-9999.0
FORWARD,3,1,2,2,1,4,5,500.0,145.5,-9999.0
FORWARD,3,1,2,2,1,5,6,500.0,5.8,-9999.0
FORWARD,3,1,3,3,1,1,2,500.0,-5.2,-9999.0
FORWARD,3,1,3,3,1,1,4,500.0,41.1,-9999.0
FORWARD,3,1,3,3,1,1,5,500.0,239.1,-9999.0
FORWARD,3,1,3,3,1,2,3,500.0,247.5,-9999.0
FORWARD,3,1,3,3,1,2,4,500.0,92.7,-9999.0
FORWARD,3,1,3,3,1,2,5,500.0,242.6,-9999.0
FORWARD,3,1,3,3,1,2,6,500.0,412.2,-9999.0
FORWARD,3,1,3,3,1,3,5,500.0,41.9,-9999.0
FORWARD,3,1,3,3,1,3,6,500.0,205.6,-9999.0
FORWARD,3,1,3,3,1,4,5,500.0,158.8,-9999.0
FORWARD,3,1,3,3,1,5,6,500.0,32.2,-9999.0
FORWARD,3,1,4,4,1,1,2,500.0,-20.3,-9999.0
FORWARD,3,1,4,4,1,1,4,500.0,74.2,-9999.0
FORWARD,3,1,4,4,1,1,5,500.0,246.0,-9999.0
FORWARD,3,1,4,4,1,2,3,500.0,141.4,-9999.0
FORWARD,3,1,4,4,1,2,4,500.0,189.1,-9999.0
FORWARD,3,1,4,4,1,2,5,500.0,259.5,-9999.0
FORWARD,3,1,4,4,1,2,6,500.0,389.7,-9999.0
FORWARD,3,1,4,4,1,3,5,500.0,163.5,-9999.0
FORWARD,3,1,4,4,1,3,6,500.0,426.0,-9999.0
FORWARD,3,1,4,4,1,4,5,500.0,147.4,-9999.0
FORWARD,3,1,4,4,1,5,6,500.0,0.3,-9999.0
FORWARD,3,1,5,5,1,1,2,500.0,-5.2,-9999.0
FORWARD,3,1,5,5,1,1,4,500.0,41.1,-9999.0
FORWARD,3,1,5,5,1,1,5,500.0,239.1,-9999.0
FORWARD,3,1,5,5,1,2,3,500.0,247.5,-9999.0
FORWARD,3,1,5,5,1,2,4,500.0,92.7,-9999.0
FORWARD,3,1,5,5,1,2,5,500.0,242.6,-9999.0
FORWARD,3,1,5,5,1,2,6,500.0,412.2,-9999.0
FORWARD,3,1,5,5,1,3,5,500.0,41.9,-9999.0
FORWARD,3,1,5,5,1,3,6,500.0,205.6,-9999.0
FORWARD,3,1,5,5,1,4,5,500.0,158.8,-9999.0
FORWARD,3,1,5,5,1,5,6,500.0,32.2,-9999.0
FORWARD,4,1,1,1,1,1,2,500.0,-113.7,-9999.0
FORWARD,4,1,1,1,1,1,4,500.0,-45.2,-9999.0
FORWARD,4,1,1,1,1,1,5,500.0,158.9,-9999.0
FORWARD,4,1,1,1,1,2,3,500.0,162.5,-9999.0
FORWARD,4,1,1,1,1,2,4,500.0,137.0,-9999.0
FORWARD,4,1,1,1,1,2,5,500.0,234.8,-9999.0
FORWARD,4,1,1,1,1,2,6,500.0,352.1,-9999.0
FORWARD,4,1,1,1,1,3,5,500.0,114.6,-9999.0
FORWARD,4,1,1,1,1,3,6,500.0,298.0,-9999.0
FORWARD,4,1,1,1,1,4,5,500.0,141.8,-9999.0
FORWARD,4,1,1,1,1,5,6,500.0,-0.0,-9999.0
FORWARD,4,1,2,2,1,1,2,500.0,-75.1,-9999.0
FORWARD,4,1,2,2,1,1,4,500.0,-16.9,-9999.0
FORWARD,4,1,2,2,1,1,5,500.0,188.0,-9999.0
FORWARD,4,1,2,2,1,2,3,500.0,195.3,-9999.0
FORWARD,4,1,2,2,1,2,4,500.0,116.4,-9999.0
FORWARD,4,1,2,2,1,2,5,500.0,238.0,-9999.0
FORWARD,4,1,2,2,1,2,6,500.0,375.3,-9999.0
FORWARD,4,1,2,2,1,3,5,500.0,86.9,-9999.0
FORWARD,4,1,2,2,1,3,6,500.0,262.5,-9999.0
FORWARD,4,1,2,2,1,4,5,500.0,149.4,-9999.0
FORWARD,4,1,2,2,1,5,6,500.0,12.2,-9999.0
FORWARD,4,1,3,3,1,1,2,500.0,-13.1,-9999.0
FORWARD,4,1,3,3,1,1,4,500.0,28.5,-9999.0
FORWARD,4,1,3,3,1,1,5,500.0,234.6,-9999.0
FORWARD,4,1,3,3,1,2,3,500.0,247.9,-9999.0
FORWARD,4,1,3,3,1,2,4,500.0,83.2,-9999.0
FORWARD,4,1,3,3,1,2,5,500.0,243.3,-9999.0
FORWARD,4,1,3,3,1,2,6,500.0,412.6,-9999.0
FORWARD,4,1,3,3,1,3,5,500.0,42.4,-9999.0
FORWARD,4,1,3,3,1,3,6,500.0,205.6,-9999.0
FORWARD,4,1,3,3,1,4,5,500.0,161.7,-9999.0
FORWARD,4,1,3,3,1,5,6,500.0,31.8,-9999.0
FORWARD,4,1,4,4,1,1,2,500.0,-20.3,-9999.0
FORWARD,4,1,4,4,1,1,4,500.0,74.2,-9999.0
FORWARD,4,1,4,4,1,1,5,500.0,246.0,-9999.0
FORWARD,4,1,4,4,1,2,3,500.0,141.4,-9999.0
FORWARD,4,1,4,4,1,2,4,500.0,189.1,-9999.0
FORWARD,4,1,4,4,1,2,5,500.0,259.5,-9999.0
FORWARD,4,1,4,4,1,2,6,500.0,389.7,-9999.0
FORWARD,4,1,4,4,1,3,5,500.0,163.5,-9999.0
FORWARD,4,1,4,4,1,3,6,500.0,426.0,-9999.0
FORWARD,4,1,4,4,1,4,5,500.0,147.4,-9999.0
FORWARD,4,1,4,4,1,5,6,500.0,0.3,-9999.0
FORWARD,4,1,5,5,1,1,2,500.0,-13.1,-9999.0
FORWARD,4,1,5,5,1,1,4,500.0,28.5,-9999.0
FORWARD,4,1,5,5,1,1,5,500.0,234.6,-9999.0
FORWARD,4,1,5,5,1,2,3,500.0,247.9,-9999.0
FORWARD,4,1,5,5,1,2,4,500.0,83.2,-9999.0
FORWARD,4,1,5,5,1,2,5,500.0,243.3,-9999.0
FORWARD,4,1,5,5,1,2,6,500.0,412.6,-9999.0
FORWARD,4,1,5,5,1,3,5,500.0,42.4,-9999.0
FORWARD,4,1,5,5,1,3,6,500.0,205.6,-9999.0
FORWARD,4,1,5,5,1,4,5,500.0,161.7,-9999.0
FORWARD,4,1,5,5,1,5,6,500.0,31.8,-9999.0
