"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"354";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;38;789,96;788,392;1,96;15,843;774,117;805,803;180,75;180,729;170,198;192,707;562,789;438,998;1,384;1,412;0,611;0,571;10,66;0,096;0,847;0,954;0,689;0,895;0,947;1;0,753
"355";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;39;964,678;962,298;1,96;17,748;946,93;982,426;202,478;202,863;190,658;215,872;562,789;438,998;1,366;1,375;0,488;0,438;10,764;0,098;0,829;0,938;0,703;0,881;0,939;0,992;0,75
"356";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;40;1141,842;1141,502;1,96;19,331;1122,511;1161,173;220,537;222;207,663;235,126;562,789;438,998;0,626;0,591;-0,835;-0,946;9,964;0,036;1;0,992;0,669;0,713;0,995;0,937;0,92
"357";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;42;1212,03;1212,386;1,96;20,976;1191,054;1233,006;239,308;240,784;225,338;255,138;562,789;438,998;0,415;0,379;-1,138;-1,231;12,408;0,044;1;0,992;0,668;0,72;0,995;0,926;0,823
"358";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;43;1250,584;1250,308;1,96;21,146;1229,438;1271,73;241,245;241,314;227,162;257,204;562,789;438,998;0,203;0,161;-1,086;-1,171;12,72;0,056;1;0,994;0,689;0,745;0,994;0,997;0,842
"359";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;45;8598,39;8600,24;1,96;234,396;8363,994;8832,786;2674,157;2671,068;2518,049;2851,057;562,789;438,998;0,293;0,302;-1,091;-1,075;57,502;0,036;1;0,996;0,903;0,901;0,996;0,986;0,732
"360";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;46;9496,862;9500,634;1,96;226,618;9270,244;9723,48;2585,423;2582,04;2434,495;2756,453;562,789;438,998;0,481;0,492;-0,983;-0,964;60,716;0,042;1;0,992;0,872;0,841;0,993;0,982;0,759
"361";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;66;14036,574;14024,304;1,96;257,478;13779,096;14294,052;2937,491;2907,376;2766,01;3131,811;562,789;438,998;0,935;0,917;-0,513;-0,555;99,082;0,046;1;0,978;0,862;0,826;0,976;0,897;0,848
"362";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;75;918,448;913,182;1,96;54,753;863,695;973,201;624,659;624,513;588,194;665,981;562,789;438,998;1,122;1,143;-0,304;-0,278;19,874;0,114;0,665;0,955;0,891;0,994;0,956;0,998;0,733
"363";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;292;9925,876;9946,524;1,96;167,599;9758,277;10093,475;1912,094;1905,046;1800,473;2038,583;562,789;438,998;-0,615;-0,595;-0,777;-0,779;64,1;0,052;1;0,943;0,902;0,935;0,941;0,967;0,721
"364";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;302;1862,932;1875,776;1,96;47,097;1815,835;1910,029;537,313;559,069;505,947;572,857;562,789;438,998;1,739;1,694;1,381;1,14;15,868;0,026;1;0,878;0,502;0,67;0,874;0,791;0,467
"365";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;318;110,168;109,338;1,96;3,714;106,454;113,882;42,371;40,819;39,898;45,174;562,789;438,998;0,598;0,469;-0,631;-0,931;2,314;0,04;1;0,893;0,795;0,71;0,892;0,717;0,941
"366";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;131;230,2;234,006;1,96;13,855;216,345;244,055;158,063;159,877;148,836;168,52;562,789;438,998;0,008;-0,015;-1,522;-1,541;6,842;0,052;1;0,874;0,991;0,755;0,858;0,838;0,787
"367";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;306;198,846;202,672;1,96;13,189;185,657;212,035;150,468;152,214;141,685;160,422;562,789;438,998;0,076;0,051;-1,5;-1,519;6,794;0,064;0,996;0,867;0,991;0,757;0,891;0,858;0,758
"368";"avaliaArvores/A_50_5_2";"BKAssimetrico";2;50;132;23,896;24,2;1,96;0,571;23,325;24,467;6,512;6,784;6,131;6,942;562,789;438,998;-0,157;-0,209;-0,719;-0,781;0,428;0,042;1;0,765;0,884;0,99;0,756;0,668;0,63
