"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"11";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;290;686,228;690,946;1,96;2564,408;640,268;732,188;625,827;746,629;45,96;60,401;640,537;623,182;622,345;601,154;217071,872;200968,363;194366,314;173340,613;734,782;746,986;772,367;789,151;341563,88;360050,661;382915,892;433834,187;524,34;520,52;493,731;559,026;562,789;438,998;484,63;570,589;584,125;421,385;1,769;1,73;4,337;4,277;11,438;0,02;1;0,907;0,256;0,668;0,927;0,952;0,986
"12";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;285;23413,208;23417,078;1,96;2564,408;23401,132;23425,284;23397,337;23429,079;12,076;15,871;23401,81;23399,399;23398,825;23391,197;16782,158;16170,43;15520,936;14317,526;23425,547;23428,797;23438,574;23443,154;21199,803;22279,717;22694,945;24322,044;137,774;137,785;129,732;146,888;562,789;438,998;127,34;149,927;584,125;421,385;0,302;0,303;-0,008;-0,007;5,122;0,02;1;0,717;0,32;0,363;0,766;0,999;0,749
"13";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;273;800,006;794,444;1,96;2564,408;704,394;895,618;674,351;925,661;95,612;125,655;703,495;683,441;630,276;601,15;839383,191;776652,879;667208,126;539946,056;905,763;926,283;951,885;1022,073;1555266,261;1721330,954;1759105,211;2064678,127;1090,807;1085,778;1027,13;1162,966;562,789;438,998;1008,197;1187,022;584,125;421,385;2,811;2,801;9,363;9,299;12,534;0,018;1;0,947;0,229;0,293;0,95;0,964;0,056
"14";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;257;763,09;757,768;1,96;2564,408;671,891;854,289;643,234;882,946;91,199;119,856;673,614;652,822;620,23;588,665;778752,722;701755,502;589315,527;506517,201;853,05;874,243;906,465;947,297;1411826,879;1488580,727;1606059,326;1822907,567;1040,463;1035,63;979,724;1109,291;562,789;438,998;961,665;1132,237;584,125;421,385;2,811;2,801;9,361;9,299;11,962;0,016;1;0,947;0,229;0,294;0,965;0,984;0,056
"15";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;288;3184,762;3181,186;1,96;2564,408;3145,016;3224,508;3132,527;3236,997;39,746;52,235;3145,683;3135,734;3119,022;3101,094;175200,503;166209,119;159769,909;148728,449;3226,522;3238,722;3248,485;3276,811;234906,998;241685,534;260816,852;275884,506;453,451;456,848;426,98;483,448;562,789;438,998;419,11;493,448;584,125;421,385;1,052;1,074;0,975;1,072;11,776;0,02;1;0,919;0,609;0,659;0,921;0,921;0,346
"16";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;145;117,746;117,73;1,96;2564,408;113,722;121,77;112,457;123,035;4,024;5,289;114,227;113,15;112,478;111,09;608,726;512,536;493,358;440,251;122,355;123,962;125,894;128,148;4107,34;4782,33;5415,496;7248,286;45,914;45,414;43,233;48,951;562,789;438,998;42,436;49,963;584,125;421,385;7,857;7,784;81,727;80,866;0,56;0,014;1;0,996;0,01;0,543;0,993;0,976;0,382
"17";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;279;700,144;702,842;1,96;2564,408;682,084;718,204;676,409;723,879;18,06;23,735;682,31;677,574;673,755;665,864;34558,678;32163,99;30291,11;28344,511;717,78;724,791;731,501;738,873;51888,795;55368,791;58772,565;66076,586;206,04;205,97;194,012;219,67;562,789;438,998;190,436;224,214;584,125;421,385;1,231;1,239;3,812;3,769;6,446;0,028;1;0,866;0,165;0,73;0,877;1;0,427
"18";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;287;712,03;715,406;1,96;2564,408;698,341;725,719;694,04;730,02;13,689;17,99;698,357;693,039;693,247;681,928;20763,986;19582,031;18291,274;17267,809;725,465;730;738,001;743,271;28012,693;29005,551;30087,932;31858,797;156,171;154,448;147,054;166,502;562,789;438,998;144,343;169,946;584,125;421,385;-0,715;-0,728;1,1;1,143;4,592;0,02;1;0,779;0,588;0,673;0,821;0,907;0,609
"19";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;270;1104,072;1102,258;1,96;2564,408;987,646;1220,498;951,063;1257,081;116,426;153,009;994,185;957,077;926,766;887,191;1396859,371;1305658,895;1180750,016;1072077,411;1211,66;1236,048;1308,035;1381,607;2153130,528;2277538,771;2551078,162;2746255,782;1328,269;1333,123;1250,729;1416,136;562,789;438,998;1227,675;1445,429;584,125;421,385;2,08;2,134;4,636;5,047;19,818;0,012;1;0,986;0,571;0,349;0,99;0,977;0,053
"20";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;227;1124,762;1121,702;1,96;2564,408;1079,061;1170,463;1064,7;1184,824;45,701;60,062;1078,491;1068,72;1057,233;1048,223;132670,281;118283,983;116671,7;105914,856;1173,019;1188,29;1199,397;1238,321;446890,651;519539,586;550615,097;682736,691;521,392;514,888;490,955;555,883;562,789;438,998;481,905;567,381;584,125;421,385;4,961;4,707;43,253;40,204;9,12;0,018;1;0,939;0,272;0,854;0,934;0,967;0,141
"21";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;230;20,478;20,412;1,96;2564,408;19,687;21,269;19,439;21,517;0,791;1,039;19,692;19,53;19,216;18,874;43,986;38,503;35,515;31,28;21,226;21,576;21,811;22,206;124,403;145,904;162,749;197,767;9,023;9,007;8,496;9,62;562,789;438,998;8,34;9,819;584,125;421,385;4,517;4,492;33,845;33,654;0,146;0,006;1;0,925;0,226;0,811;0,942;0,994;0,039
"22";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;253;96,7;96,032;1,96;2564,408;85,143;108,257;81,512;111,888;11,557;15,188;85,591;81,499;79,233;75,511;12685,672;11933,681;10075,371;8492,851;108,334;111,943;116,191;124,409;22591,038;24618,714;26652,016;30169,082;131,847;131,217;124,15;140,568;562,789;438,998;121,861;143,476;584,125;421,385;2,811;2,801;9,362;9,301;1,508;0,012;1;0,948;0,23;0,294;0,957;0,966;0,056
"23";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;229;2256,644;2251,312;1,96;2564,408;2169,543;2343,745;2142,175;2371,113;87,101;114,469;2165,74;2139,126;2128,639;2095,148;518257,28;449836,869;428287,311;373545,579;2345,342;2377,985;2406,363;2456,516;1524809,772;1692776,088;1974505,067;2404971,137;993,705;994,015;935,696;1059,441;562,789;438,998;918,449;1081,355;584,125;421,385;4,505;4,475;33,653;33,4;15,092;0,012;1;0,945;0,211;0,772;0,948;1;0,038
"24";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;275;5825,37;5799,138;1,96;2564,408;5488,473;6162,267;5382,612;6268,128;336,897;442,758;5511,998;5409,429;5277,541;5121,914;10623430,884;9289772,648;8280716,21;7105359,642;6164,725;6248,712;6409,114;6633,042;19563345,898;20727114,194;22441435,836;25328813,42;3843,566;3838,125;3619,192;4097,824;562,789;438,998;3552,48;4182,589;584,125;421,385;2,707;2,703;10,051;9,999;51,74;0,008;1;0,93;0,075;0,408;0,932;0,994;0,067
"25";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;190;392,806;391,912;1,96;2564,408;379,096;406,516;374,788;410,824;13,71;18,018;379,109;373,281;370,219;362,294;19382,873;17959,347;16692,41;15393,657;407,506;410,786;415,021;423,56;30724,374;32491,224;35729,133;41241,003;156,414;156,942;147,283;166,761;562,789;438,998;144,568;170,21;584,125;421,385;1,635;1,66;4,933;4,958;3,226;0,018;1;0,941;0,031;0,221;0,961;0,976;0,047
"26";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;255;194,166;191,298;1,96;2564,408;167,186;221,146;158,709;229,623;26,98;35,457;168,91;163,799;150,605;142,14;72169,166;67924,748;57233,373;49688,958;222,467;232,201;233,385;245,336;119270,608;128077,517;126744,137;140287,959;307,804;302,017;289,836;328,166;562,789;438,998;284,493;334,954;584,125;421,385;2,524;2,488;6,15;5,89;5,864;0,016;1;0,903;0,506;0,641;0,924;0,865;0,169
"27";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;188;164,322;164,29;1,96;2564,408;132,775;195,869;122,863;205,781;31,547;41,459;133,355;124,277;118,653;102,67;78123,772;68029,801;58449,364;45275,435;199,131;211,293;221,084;244,113;191580,116;208464,185;245624,113;280348,549;359,906;366,23;338,896;383,714;562,789;438,998;332,649;391,652;584,125;421,385;4,064;4,226;20,259;21,991;4,848;0,006;1;0,999;0,009;0,328;1;0,933;0,13
"28";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;254;382,084;377,678;1,96;2564,408;208,47;555,698;153,917;610,251;173,614;228,167;235,544;196,726;170,165;142,711;950419,862;620298,39;408934,535;229683,776;570,641;633,585;704,267;888,133;7975988,005;9494565,247;10756578,488;14304643,121;1980,713;1978,638;1865,086;2111,74;562,789;438,998;1830,707;2155,422;584,125;421,385;9,646;9,679;106,94;107,483;5,582;0,02;1;0,977;0;0,108;0,98;0,996;0,131
"29";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;158;39,002;38,766;1,96;2564,408;34,453;43,551;33,024;44,98;4,549;5,978;34,641;33,445;32,032;30,722;1702,549;1453,965;1270,549;1069,096;43,783;45,123;46,793;50,311;3876,766;4196,854;4761,493;5380,698;51,896;51,948;48,866;55,329;562,789;438,998;47,965;56,473;584,125;421,385;3,78;3,795;18,536;18,626;0,632;0,006;1;0,953;0,001;0,133;0,972;0,995;0,04
"30";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;155;148,04;149,588;1,96;2564,408;129;167,08;123,017;173,063;19,04;25,023;129,481;122,915;118,872;110,578;35369,774;32860,523;29686,38;25979,908;166,839;173,027;181,901;190,441;59274,478;63628,374;68798;77417,753;217,227;221,766;204,546;231,597;562,789;438,998;200,776;236,387;584,125;421,385;2,55;2,548;6,437;6,424;4,22;0,012;1;0,928;0,612;0,845;0,93;0,864;0,453
"31";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;169;1031,748;1024,894;1,96;2564,408;975,371;1088,125;957,656;1105,84;56,377;74,092;973,484;957,448;932,72;918,231;371249,953;358118,753;345406,199;321229,526;1090,359;1115,66;1115,441;1152,37;456502,814;470183,361;481225,654;504030,59;643,193;642,661;605,645;685,741;562,789;438,998;594,482;699,926;584,125;421,385;0,853;0,858;-0,621;-0,62;10,342;0,02;1;0,891;0,655;0,87;0,909;0,987;0,237
"32";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;156;874,092;872,426;1,96;2564,408;804,693;943,491;782,887;965,297;69,399;91,205;807,388;780,448;763,234;720,93;515532,838;484249,81;463208,264;417013,001;946,247;967,281;989,087;1017,29;742099,329;768608,667;821669,378;864308,906;791,749;796,798;745,53;844,125;562,789;438,998;731,788;861,586;584,125;421,385;1,546;1,542;2,108;2,035;14,938;0,012;1;0,978;0,201;0,56;0,977;0,947;0,222
"33";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;148;132,088;131,326;1,96;2564,408;113,852;150,324;108,122;156,054;18,236;23,966;114,028;109,65;102,433;93,221;31399,309;29871,558;25378,381;20439,075;151,031;157,088;160,639;170,561;55877,562;60304,327;62845,459;70453,306;208,048;207,769;195,903;221,811;562,789;438,998;192,292;226,399;584,125;421,385;2,708;2,735;7,827;7,995;3,038;0,012;1;0,962;0,199;0,472;0,969;0,99;0,275
"34";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;141;308,694;306,952;1,96;2564,408;266,042;351,346;252,64;364,748;42,652;56,054;267,185;254,647;239,702;220,688;169994,308;149698,411;142832,638;103376,051;351,35;367,476;385,806;413,331;304978,565;327415,194;352556,92;405060,97;486,603;485,964;458,197;518,792;562,789;438,998;449,751;529,524;584,125;421,385;2,707;2,734;7,822;7,989;7,094;0,012;1;0,963;0,199;0,473;0,965;0,99;0,26
"35";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;149;171,978;172,64;1,96;2564,408;157,341;186,615;152,742;191,214;14,637;19,236;157,754;154,522;150,772;144,904;21563,141;19963,056;18667,852;15714,136;187,691;191,796;200;207,086;34398,798;37276,496;41821,325;47180,98;166,989;170,842;157,241;178,035;562,789;438,998;154,342;181,718;584,125;421,385;2,266;2,34;5,386;5,711;4,094;0,012;1;0,96;0,235;0,683;0,961;0,852;0,453
"36";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;123;173,63;170,58;1,96;2564,408;162,015;185,245;158,365;188,895;11,615;15,265;162,21;158,096;153,978;150,111;13830,782;13238,955;11387,577;10179,95;185,902;188,192;189,515;199,201;21444,353;22701,598;24498,844;26458,754;132,514;131,572;124,779;141,28;562,789;438,998;122,479;144,203;584,125;421,385;1,816;1,947;4,269;5,161;5,162;0,018;1;0,766;0,801;0,889;0,789;0,954;0,517
"37";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;262;91,794;92,03;1,96;2564,408;82,954;100,634;80,177;103,411;8,84;11,617;83,589;79,995;78,036;72,961;8221,51;7726,105;7150,256;6610,949;100,528;104,391;106,594;111,322;12221,27;12841,982;14397,776;15931,051;100,849;103,338;94,961;107,52;562,789;438,998;93,211;109,744;584,125;421,385;1,887;1,949;3,246;3,519;2,004;0,014;1;0,976;0,549;0,758;0,978;0,813;0,339
"38";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;130;87,312;86,7;1,96;2564,408;82,203;92,421;80,598;94,026;5,109;6,714;82,332;80,627;79,096;76,891;2739,647;2534,168;2325,554;2159,217;92,47;94,136;95,456;97,707;4129,382;4376,008;4736,224;5060,278;58,287;57,748;54,884;62,143;562,789;438,998;53,873;63,428;584,125;421,385;1,633;1,688;3,313;3,862;1,36;0,01;1;0,892;0,713;0,705;0,907;0,91;0,871
"39";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;259;97,408;97,168;1,96;2564,408;93,309;101,507;92,022;102,794;4,099;5,386;93,297;92,407;90,741;89,336;1599,274;1502,316;1328,321;1166,73;101,393;103,191;104,265;107,153;2895,506;3251,169;3618,872;4216,675;46,759;46,743;44,03;49,852;562,789;438,998;43,218;50,884;584,125;421,385;2,421;2,472;10,628;10,923;0,936;0,016;1;0,947;0,13;0,319;0,96;0,999;0,156
"40";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;252;0;0;1,96;2564,408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562,789;438,998;0;0;584,125;421,385;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"41";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;120;31,88;31,454;1,96;2564,408;29,402;34,358;28,624;35,136;2,478;3,256;29,336;28,65;27,725;26,75;403,304;352,48;302,077;252,705;34,416;35,299;36,063;37,639;1287,623;1505,392;1784,047;2097,51;28,268;29,037;26,618;30,138;562,789;438,998;26,127;30,761;584,125;421,385;5,044;5,324;39,153;41,346;0,97;0,018;1;0,849;0,798;0,882;0,865;0,925;0,526
"42";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;295;88,996;89,154;1,96;2564,408;87,916;90,076;87,577;90,415;1,08;1,419;87,998;87,718;87,454;87,212;92,139;81,253;71,076;56,488;90,118;90,44;91,219;91,688;219,331;236,775;288,426;349,455;12,321;12,663;11,602;13,136;562,789;438,998;11,388;13,408;584,125;421,385;3,894;4,021;20,768;21,91;0,33;0,01;1;0,871;0,014;0,429;0,89;0,892;0,23
"43";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;202;11,582;11,762;1,96;2564,408;10,646;12,518;10,352;12,812;0,936;1,23;10,73;10,512;10,078;9,72;85,745;79,63;77,209;65,217;12,494;12,836;13,508;14,125;143,97;158,2;206,78;237,631;10,676;11,64;10,053;11,383;562,789;438,998;9,868;11,618;584,125;421,385;2,484;2,79;7,323;9,201;0,444;0,012;1;0,838;0,461;0,95;0,836;0,579;0,909
"44";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;278;355,5;357,308;1,96;2564,408;323,124;387,876;312,95;398,05;32,376;42,55;325,959;318,803;309,507;298,971;69323,769;53573,679;47648,99;42792,084;388,419;397,99;419,524;440,335;221008,95;246288,597;288803,853;374074,237;369,374;371,957;347,811;393,809;562,789;438,998;341,4;401,955;584,125;421,385;5,451;5,484;43,541;43,888;5,516;0,01;1;0,95;0,019;0,628;0,949;0,982;0,245
"45";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;144;236,234;234,902;1,96;2564,408;203,591;268,877;193,334;279,134;32,643;42,9;202,632;195,11;182,628;175,191;102040,152;90071,529;78476,143;65997,356;268,727;281,56;293,663;309,768;176063,905;190860,667;205924,813;232289,061;372,413;371,906;350,673;397,049;562,789;438,998;344,209;405,262;584,125;421,385;2,707;2,734;7,822;7,989;5,432;0,012;1;0,963;0,199;0,474;0,97;0,993;0,254
"46";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;121;96,028;95,18;1,96;2564,408;89,766;102,29;87,799;104,257;6,262;8,229;90,326;88,318;85,178;82,173;3883,913;3598,66;3415,791;2856,668;102,02;104,739;106,366;109,918;6347,446;6926,141;7545,544;8208,246;71,438;72,878;67,267;76,163;562,789;438,998;66,028;77,739;584,125;421,385;2,248;2,299;6,134;6,307;2,144;0,02;1;0,88;0,795;0,926;0,874;0,865;0,914
"47";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;197;43,632;42,968;1,96;2564,408;40,64;46,624;39,7;47,564;2,992;3,932;40,804;40,196;38,478;37,374;791,97;716,864;577,729;471,494;46,86;47,922;48,007;49,789;1597,176;1706,266;1865,8;2206,605;34,133;33,87;32,141;36,391;562,789;438,998;31,548;37,144;584,125;421,385;3,071;3,276;12,685;14,161;1,244;0,014;1;0,801;0,019;0,438;0,841;0,965;0,893
"48";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;281;86,932;86,89;1,96;2564,408;85,882;87,982;85,552;88,312;1,05;1,38;85,862;85,574;85,276;84,98;111,012;103,989;97,717;90,852;88,066;88,428;88,551;89,13;181,545;192,437;215,247;252,867;11,975;12,014;11,276;12,768;562,789;438,998;11,069;13,032;584,125;421,385;1,73;1,889;5,441;6,811;0,342;0,022;1;0,964;0,142;0,418;0,964;0,976;0,201
"49";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;263;0;0;1,96;2564,408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;562,789;438,998;0;0;584,125;421,385;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"50";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;196;47,412;47,794;1,96;2564,408;43,883;50,941;42,774;52,05;3,529;4,638;44,062;43,014;42,131;40,137;1207,818;1100,94;1062,733;959,87;50,967;52,001;54,107;57,515;2034,324;2191,036;2567,144;2841,916;40,265;41,294;37,914;42,929;562,789;438,998;37,216;43,817;584,125;421,385;2,379;2,503;6,488;7,439;0,906;0,01;1;0,904;0,55;0,927;0,926;0,844;0,552
"51";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;134;182,656;178,238;1,96;2564,408;161,096;204,216;154,321;210,991;21,56;28,335;161,464;156,457;147,49;139,146;41822,137;37756,442;33950,032;28127,538;203,61;212,033;213,873;233,901;78227,278;85046,877;91931,577;104868,519;245,976;243,525;231,616;262,247;562,789;438,998;227,347;267,672;584,125;421,385;3,062;3,119;10,684;10,926;5,702;0,026;1;0,816;0,188;0,525;0,831;0,939;0,374
"52";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;203;11,486;11,664;1,96;2564,408;10,558;12,414;10,266;12,706;0,928;1,22;10,65;10,352;10,126;9,606;83,546;76,31;74,237;65,283;12,446;12,628;13,414;13,79;144,134;151,933;197,93;224,096;10,59;11,546;9,972;11,291;562,789;438,998;9,788;11,524;584,125;421,385;2,491;2,801;7,416;9,349;0,422;0,008;1;0,838;0,465;0,949;0,845;0,581;0,881
"53";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;129;214,83;213,348;1,96;2564,408;202,262;227,398;198,313;231,347;12,568;16,517;202,056;200,082;193,669;182,843;16382,604;15315,916;13849,014;12570,631;227,909;232,313;233,599;240,699;24899,134;26533,808;27439,251;29881,083;143,383;142,095;135,013;152,868;562,789;438,998;132,524;156,031;584,125;421,385;1,633;1,687;3,309;3,849;3,382;0,01;1;0,893;0,717;0,708;0,89;0,93;0,875
