"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"66";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;141;323,1;325,518;1,96;9,148;313,952;332,248;104,361;102,54;98,269;111,265;562,789;438,998;-0,101;-0,03;-1,003;-1,028;3,078;0,032;0,999;0,763;0,248;0,224;0,798;0,717;0,132
"67";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;144;246,962;248,556;1,96;6,786;240,176;253,748;77,415;76,442;72,896;82,536;562,789;438,998;0,024;0,074;-1,153;-1,149;1,938;0,03;1;0,789;0,356;0,354;0,825;0,787;0,134
"68";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;145;168,928;168,488;1,96;2,662;166,266;171,59;30,367;30,01;28,594;32,376;562,789;438,998;0,29;0,326;-1,057;-1,017;1,02;0,03;1;0,851;0,749;0,876;0,86;0,768;0,664
"69";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;148;139,696;140,676;1,96;4,057;135,639;143,753;46,286;45,518;43,584;49,348;562,789;438,998;-0,043;0,018;-0,962;-0,968;1,364;0,032;0,999;0,783;0,25;0,216;0,825;0,754;0,13
"70";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;149;140,578;140,182;1,96;2,359;138,219;142,937;26,914;28,352;25,343;28,694;562,789;438,998;0,208;0,204;-0,075;-0,069;1,308;0,016;1;0,855;0,873;0,878;0,878;0,492;0,341
"71";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;154;155,942;156,562;1,96;1,654;154,288;157,596;18,874;19,654;17,772;20,122;562,789;438,998;1,325;1,321;0,481;0,407;0,756;0,022;1;0,681;0,414;0,405;0,72;0,633;0,443
"72";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;155;102,332;101,168;1,96;5,033;97,299;107,365;57,418;57,147;54,066;61,216;562,789;438,998;0,563;0,617;-0,359;-0,262;1,812;0,028;1;0,793;0,968;0,899;0,821;0,933;0,127
"73";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;156;678,074;675,26;1,96;35,575;642,499;713,649;405,86;403,152;382,167;432,708;562,789;438,998;0,635;0,674;-1,022;-0,959;8,822;0,026;1;0,929;0,862;0,366;0,934;0,884;0,074
"74";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;158;44,926;45,076;1,96;1,274;43,652;46,2;14,539;14,046;13,69;15,501;562,789;438,998;0,668;0,573;0,073;0,163;0,862;0,034;0,998;0,892;0,733;0,907;0,912;0,64;0,034
"75";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;160;13,21;13,22;1,96;0,307;12,903;13,517;3,504;3,618;3,299;3,736;562,789;438,998;0,424;0,458;-0,527;-0,552;0,146;0,022;1;0,971;0,857;0,865;0,972;0,566;0,825
"76";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;161;112,96;112,904;1,96;2,632;110,328;115,592;30,028;31,097;28,275;32,014;562,789;438,998;0,437;0,478;-0,508;-0,523;1,316;0,022;1;0,981;0,778;0,945;0,989;0,554;0,864
"77";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;166;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"78";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;168;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"79";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;169;1258,154;1264,678;1,96;37,99;1220,164;1296,144;433,412;439,296;408,111;462,082;562,789;438,998;-0,101;-0,082;-0,707;-0,692;10,76;0,018;1;0,848;0,314;0,179;0,879;0,784;0,082
"80";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;171;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"81";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;172;2083,486;2086,182;1,96;66,74;2016,746;2150,226;761,414;761,047;716,965;811,782;562,789;438,998;-0,298;-0,297;-1,124;-1,129;8,888;0,012;1;0,964;0,312;0,377;0,973;0,991;0,051
"82";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;173;2083,486;2086,182;1,96;66,74;2016,746;2150,226;761,414;761,047;716,965;811,782;562,789;438,998;-0,298;-0,297;-1,124;-1,129;8,888;0,012;1;0,964;0,312;0,377;0,978;0,992;0,051
"83";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;175;2083,486;2086,182;1,96;66,74;2016,746;2150,226;761,414;761,047;716,965;811,782;562,789;438,998;-0,298;-0,297;-1,124;-1,129;8,888;0,012;1;0,964;0,312;0,377;0,966;0,991;0,051
"84";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;176;2083,486;2086,182;1,96;66,74;2016,746;2150,226;761,414;761,047;716,965;811,782;562,789;438,998;-0,298;-0,297;-1,124;-1,129;8,888;0,012;1;0,964;0,312;0,377;0,962;0,988;0,051
"85";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;178;2083,486;2086,182;1,96;66,74;2016,746;2150,226;761,414;761,047;716,965;811,782;562,789;438,998;-0,298;-0,297;-1,124;-1,129;8,888;0,012;1;0,964;0,312;0,377;0,967;0,988;0,051
"86";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;183;2,866;2,89;1,96;0,106;2,76;2,972;1,212;1,253;1,141;1,292;562,789;438,998;0,238;0,172;-1,132;-1,234;0,052;0,02;1;0,803;0,468;0,399;0,83;0,491;0,166
"87";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;188;67,796;66,918;1,96;3,732;64,064;71,528;42,577;40,856;40,092;45,394;562,789;438,998;0,344;0,261;-1,201;-1,19;2,582;0,056;0,805;0,785;0,929;0,4;0,827;0,521;0,251
"88";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;190;408,656;411,198;1,96;5,734;402,922;414,39;65,413;64,746;61,594;69,74;562,789;438,998;0,941;0,871;0,306;0,194;3,41;0,048;0,923;0,614;0,871;0,746;0,654;0,867;0,207
