"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"21";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;230;20,478;20,412;1,96;2564,408;19,687;21,269;19,439;21,517;0,791;1,039;19,744;19,578;19,212;18,9;44,08;36,994;34,506;28,911;21,3;21,576;21,842;22,36;130,668;146,358;172,284;214,572;9,023;9,007;8,496;9,62;562,789;438,998;8,34;9,819;584,125;421,385;4,517;4,492;33,845;33,654;0,146;0,006;1;0,925;0,226;0,811;0,923;0,998;0,039
"22";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;253;96,7;96,032;1,96;2564,408;85,143;108,257;81,512;111,888;11,557;15,188;85,686;82,09;78,757;75,318;12720,043;11345,757;9851,11;8637;108,296;113,059;118,98;125,179;22901,995;24797,953;27060,745;31374,926;131,847;131,217;124,15;140,568;562,789;438,998;121,861;143,476;584,125;421,385;2,811;2,801;9,362;9,301;1,508;0,012;1;0,948;0,23;0,294;0,95;0,969;0,056
"23";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;229;2256,644;2251,312;1,96;2564,408;2169,543;2343,745;2142,175;2371,113;87,101;114,469;2177,231;2159,055;2121,71;2094,359;516700,121;454042,24;407155,811;371048,502;2340,607;2368,871;2397,923;2459,098;1540478,21;1782111,356;1972980,452;2352984,481;993,705;994,015;935,696;1059,441;562,789;438,998;918,449;1081,355;584,125;421,385;4,505;4,475;33,653;33,4;15,092;0,012;1;0,945;0,211;0,772;0,965;1;0,038
"24";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;275;5825,37;5799,138;1,96;2564,408;5488,473;6162,267;5382,612;6268,128;336,897;442,758;5504,06;5409,873;5294,26;5153,877;10615396,326;9580045,885;8180541,387;6857649,445;6176,968;6271,71;6374,144;6540,349;19279060,832;20856483,686;22914358,877;26340766,703;3843,566;3838,125;3619,192;4097,824;562,789;438,998;3552,48;4182,589;584,125;421,385;2,707;2,703;10,051;9,999;51,74;0,008;1;0,93;0,075;0,408;0,937;0,996;0,067
"25";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;190;392,806;391,912;1,96;2564,408;379,096;406,516;374,788;410,824;13,71;18,018;378,833;374,304;368,86;364,653;19319,86;18272,218;16974,309;15347,385;406,907;411,366;414,77;422,12;30213,795;32959,034;34929,369;38327,571;156,414;156,942;147,283;166,761;562,789;438,998;144,568;170,21;584,125;421,385;1,635;1,66;4,933;4,958;3,226;0,018;1;0,941;0,031;0,221;0,94;0,97;0,047
"26";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;255;194,166;191,298;1,96;2564,408;167,186;221,146;158,709;229,623;26,98;35,457;167,826;159,366;151,247;141,306;72025,189;66796,881;57460,909;47538,439;222,715;233,118;235,102;249,886;120085,92;129159,205;129233,28;138859,259;307,804;302,017;289,836;328,166;562,789;438,998;284,493;334,954;584,125;421,385;2,524;2,488;6,15;5,89;5,864;0,016;1;0,903;0,506;0,641;0,902;0,872;0,169
"27";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;188;164,322;164,29;1,96;2564,408;132,775;195,869;122,863;205,781;31,547;41,459;136,498;128,471;115,79;102,229;85171,733;72588,647;62398,204;46171,629;198,973;210,699;222,76;243,784;190503,08;208463,171;240795,393;281424,355;359,906;366,23;338,896;383,714;562,789;438,998;332,649;391,652;584,125;421,385;4,064;4,226;20,259;21,991;4,848;0,006;1;0,999;0,009;0,328;0,999;0,929;0,13
"28";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;254;382,084;377,678;1,96;2564,408;208,47;555,698;153,917;610,251;173,614;228,167;235,564;193,664;162,28;122,306;1009635,265;642015,829;406134,673;198377,424;565,623;626,487;710,282;893,648;7867216,654;9281484,908;11040430,355;15152239,379;1980,713;1978,638;1865,086;2111,74;562,789;438,998;1830,707;2155,422;584,125;421,385;9,646;9,679;106,94;107,483;5,582;0,02;1;0,977;0;0,108;0,982;0,999;0,131
"29";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;158;39,002;38,766;1,96;2564,408;34,453;43,551;33,024;44,98;4,549;5,978;34,871;33,766;31,837;30,349;1712,058;1507,581;1247,943;1059,617;43,817;45,546;46,47;48,75;3824,143;4204,298;4798,183;5564,433;51,896;51,948;48,866;55,329;562,789;438,998;47,965;56,473;584,125;421,385;3,78;3,795;18,536;18,626;0,632;0,006;1;0,953;0,001;0,133;0,965;0,998;0,04
"30";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;155;148,04;149,588;1,96;2564,408;129;167,08;123,017;173,063;19,04;25,023;129,207;123,203;120,137;110,844;35259,722;32005,307;30113,694;25681,493;167,936;173,792;182,281;198,295;59206,709;64873,72;69708,411;81545,161;217,227;221,766;204,546;231,597;562,789;438,998;200,776;236,387;584,125;421,385;2,55;2,548;6,437;6,424;4,22;0,012;1;0,928;0,612;0,845;0,921;0,867;0,453
