TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,31.0,9.45
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,22.0,14.65
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,22.0,14.65
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,40.0,29.1
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,46.0,44.7
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,44.0,37.47
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,37.0,30.84
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,36.0,30.38
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,17.0,4.75
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,23.0,15.94
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,13.0,3.67
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,24.0,3.75
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,20.0,16.82
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,48.0,37.85
avaliaArvores/A_50_5_2_Teste,NeuralGasSimetrico,FALHA_F_TEST,3,FALHOU_AO_MENOS_UMTESTE,46.0,29.35
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,44.0,38.14
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,61.0,46.16
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,44.0,40.06
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,34.0,36.68
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,42.0,37.85
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_F_TEST,2,FALHOU_AO_MENOS_UMTESTE,28.000000000000004,30.92
