etapa,iter,miniIter,est,node,prob,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FW,15,0,2,65,1.0,0,350000.0,252792.12071965306,97207.87928034703,0.0,4.0837636215895917e6,219778.25300348524
FW,15,0,2,68,1.0,0,350000.0,254047.438755222,95952.56124477796,0.0,4.12142316265666e6,4.0918101002529804e6
FW,15,0,2,71,1.0,0,350000.0,253410.80564868663,96589.19435131334,0.0,4.1023241694605984e6,9.474237903329216e6
FW,15,0,2,74,0.02,0,350000.0,253751.0823147573,96248.91768524275,0.0,4.112532469442719e6,9.483310803022865e6
FW,15,0,2,77,1.0,0,350000.0,252240.34000000017,97759.66000000002,0.0,4.067210200000005e6,189708.32470600534
FW,15,0,2,80,1.0,0,350000.0,253062.7717348438,96937.22826515624,0.0,4.0918831520453133e6,4.091466561656384e6
FW,15,0,2,83,1.0,0,350000.0,253081.23861492844,96918.76138507176,0.0,4.092437158447853e6,9.41984049833499e6
FW,15,0,2,86,0.02,0,350000.0,253252.43248123195,96747.56751876819,0.0,4.0975729744369583e6,9.472708925539266e6
FW,15,0,2,89,1.0,0,350000.0,252821.58000000005,97178.42000000001,0.0,4.0846474000000013e6,190113.3772602116
FW,15,0,2,92,1.0,0,350000.0,253366.19655827398,96633.80344172611,0.0,4.100985896748219e6,4.106877386961595e6
FW,15,0,2,95,1.0,0,350000.0,253113.18827494694,96886.81172505303,0.0,4.093395648248408e6,9.44189057525079e6
FW,15,0,2,98,0.02,0,350000.0,252779.95594135983,97220.04405864021,0.0,4.0833986782407947e6,9.418084381396351e6
FW,15,0,2,101,1.0,0,350000.0,252070.99000000002,97929.01,0.0,4.0621297000000007e6,189366.92034398313
FW,15,0,2,104,1.0,0,350000.0,253629.82096337565,96370.1790366246,0.0,4.1088946289012693e6,4.089263074012893e6
FW,15,0,2,107,1.0,0,350000.0,253140.30030667098,96859.69969332915,0.0,4.0942090092001297e6,9.491084195912728e6
FW,15,0,2,110,0.02,0,350000.0,253551.63367098567,96448.36632901443,0.0,4.10654901012957e6,1.2246030527171193e7
FW,15,0,2,113,1.0,0,350000.0,252779.65,97220.35,0.0,4.0833895e6,189927.06483313048
FW,15,0,2,116,1.0,0,350000.0,253402.28416598478,96597.71583401543,0.0,4.102068524979543e6,4.097986966109057e6
FW,15,0,2,119,1.0,0,350000.0,253253.0856708407,96746.91432915932,0.0,4.0975925701252203e6,9.484313460019445e6
FW,15,0,2,122,0.02,0,350000.0,253403.0620512952,96596.93794870499,0.0,4.102091861538856e6,1.0942990922961062e7
FW,15,0,2,125,1.0,0,350000.0,251989.59000000014,98010.41,0.0,4.0596877000000044e6,189638.62595846044
FW,15,0,2,128,1.0,0,350000.0,253071.4184315906,96928.58156840963,0.0,4.0921425529477187e6,4.0834289608520865e6
FW,15,0,2,131,1.0,0,350000.0,254419.29409890814,95580.70590109196,0.0,4.1325788229672443e6,9.507427284677682e6
FW,15,0,2,134,0.02,0,350000.0,253921.7646954288,96078.23530457132,0.0,4.1176529408628643e6,9.499132700332502e6
FW,15,0,2,137,1.0,0,350000.0,252724.03000000003,97275.97,0.0,4.081720900000001e6,189789.460081882
FW,15,0,2,140,1.0,0,350000.0,253323.47515104365,96676.52484895653,0.0,4.099704254531309e6,4.1012004862965127e6
FW,15,0,2,143,1.0,0,350000.0,252282.20507564413,97717.79492435599,0.0,4.068466152269324e6,9.463735554666247e6
FW,15,0,2,146,0.02,0,350000.0,253199.07220585956,96800.92779414039,0.0,4.0959721661757864e6,9.576224319041623e6
FW,15,0,2,149,1.0,0,350000.0,252763.2137081364,97236.78629186368,0.0,4.082896411244092e6,183688.7245089333
