etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
BK,1,0,4,100,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,103,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,103,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,103,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,106,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,106,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,106,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,109,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,109,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,109,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,112,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,112,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,112,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,115,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,115,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,115,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,118,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,118,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,118,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,121,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,121,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,121,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,124,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,124,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,124,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,127,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,127,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,127,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,130,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,130,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,130,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,133,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,133,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,133,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,136,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,136,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,136,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,139,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,139,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,139,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,142,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,142,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,142,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,145,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,145,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,145,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,148,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,148,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,148,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,151,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,151,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,151,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,3,3,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,3,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,3,1.0,ANGRA3,3,53470.5,30.0,1.604115e6
BK,1,0,3,6,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,6,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,6,0.02,ANGRA3,3,53083.2,30.0,1.592496e6
BK,1,0,3,9,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,9,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,9,1.0,ANGRA3,3,54554.0,30.0,1.63662e6
BK,1,0,3,12,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,12,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,12,1.0,ANGRA3,3,53781.2,30.0,1.613436e6
BK,1,0,3,15,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,15,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,15,1.0,ANGRA3,3,55170.9,30.0,1.655127e6
BK,1,0,3,18,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,18,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,18,0.02,ANGRA3,3,54515.4,30.0,1.635462e6
BK,1,0,3,21,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,21,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,21,1.0,ANGRA3,3,52246.3,30.0,1.567389e6
BK,1,0,3,24,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,24,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,24,1.0,ANGRA3,3,54725.8,30.0,1.641774e6
BK,1,0,3,27,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,27,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,27,1.0,ANGRA3,3,54148.6,30.0,1.624458e6
BK,1,0,3,30,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,30,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,30,0.02,ANGRA3,3,54979.8,30.0,1.649394e6
BK,1,0,3,33,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,33,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,33,1.0,ANGRA3,3,53398.8,30.0,1.601964e6
BK,1,0,3,36,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,36,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,36,1.0,ANGRA3,3,52833.3,30.0,1.584999e6
BK,1,0,3,39,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,39,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,39,1.0,ANGRA3,3,53716.5,30.0,1.611495e6
BK,1,0,3,42,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,42,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,42,0.02,ANGRA3,3,53877.8,30.0,1.616334e6
BK,1,0,3,45,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,45,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,45,1.0,ANGRA3,3,54796.1,30.0,1.643883e6
BK,1,0,3,48,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,48,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,48,1.0,ANGRA3,3,55799.6,30.0,1.673988e6
BK,1,0,3,51,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,51,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,51,1.0,ANGRA3,3,52722.9,30.0,1.581687e6
BK,1,0,3,54,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,54,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,54,0.02,ANGRA3,3,54299.9,30.0,1.628997e6
BK,1,0,3,57,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,57,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,3,57,1.0,ANGRA3,3,53553.8,30.0,1.606614e6
BK,1,0,3,60,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,3,60,1.0,ANGRA2,2,50000.0,20.0,1.0e6
