etapa,iter,miniIter,est,node,prob,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FW,1,0,2,62,0.02,0,350000.0,253094.12999999998,96905.87000000002,0.0,4.0928238999999994e6,0.0
FW,1,0,2,65,1.0,0,350000.0,253442.57000000018,96557.43,0.0,4.103277100000005e6,0.0
FW,1,0,2,68,1.0,0,350000.0,253126.41999999993,96873.57999999999,0.0,4.0937925999999978e6,0.0
FW,1,0,2,71,1.0,0,350000.0,253248.6300000001,96751.37,0.0,4.0974589000000027e6,0.0
FW,1,0,2,74,0.02,0,350000.0,253457.18000000002,96542.82,0.0,4.1037154000000004e6,0.0
FW,1,0,2,77,1.0,0,350000.0,252898.52000000008,97101.48000000003,0.0,4.0869556000000024e6,0.0
FW,1,0,2,80,1.0,0,350000.0,252815.3500000001,97184.64999999998,0.0,4.084460500000003e6,0.0
FW,1,0,2,83,1.0,0,350000.0,252636.7600000001,97363.24000000002,0.0,4.0791028000000026e6,0.0
FW,1,0,2,86,0.02,0,350000.0,253027.48000000013,96972.52,0.0,4.090824400000004e6,0.0
FW,1,0,2,89,1.0,0,350000.0,253292.31000000008,96707.69000000002,0.0,4.0987693000000026e6,0.0
FW,1,0,2,92,1.0,0,350000.0,253348.17000000016,96651.83000000002,0.0,4.1004451000000047e6,0.0
FW,1,0,2,95,1.0,0,350000.0,252585.6900000001,97414.31000000001,0.0,4.077570700000003e6,0.0
FW,1,0,2,98,0.02,0,350000.0,252453.85000000018,97546.15000000001,0.0,4.0736155000000056e6,0.0
FW,1,0,2,101,1.0,0,350000.0,252560.34000000003,97439.65999999999,0.0,4.0768102000000007e6,0.0
FW,1,0,2,104,1.0,0,350000.0,252977.25000000015,97022.75,0.0,4.0893175000000047e6,0.0
FW,1,0,2,107,1.0,0,350000.0,252789.1200000002,97210.88,0.0,4.083673600000006e6,0.0
FW,1,0,2,110,0.02,0,350000.0,252742.34000000017,97257.66000000002,0.0,4.082270200000005e6,0.0
FW,1,0,2,113,1.0,0,350000.0,253215.99000000005,96784.01000000002,0.0,4.0964797000000016e6,0.0
FW,1,0,2,116,1.0,0,350000.0,253326.82000000012,96673.18000000004,0.0,4.099804600000004e6,0.0
FW,1,0,2,119,1.0,0,350000.0,252994.56000000003,97005.44,0.0,4.0898368000000007e6,0.0
FW,1,0,2,122,0.02,0,350000.0,252880.93000000017,97119.07000000002,0.0,4.086427900000005e6,0.0
FW,1,0,2,125,1.0,0,350000.0,252423.9500000001,97576.05000000002,0.0,4.072718500000003e6,0.0
FW,1,0,2,128,1.0,0,350000.0,252631.02000000022,97368.98000000001,0.0,4.0789306000000066e6,0.0
FW,1,0,2,131,1.0,0,350000.0,253581.71000000014,96418.29000000001,0.0,4.107451300000004e6,0.0
FW,1,0,2,134,0.02,0,350000.0,253449.48000000004,96550.52,0.0,4.1034844000000013e6,0.0
FW,1,0,2,137,1.0,0,350000.0,253172.7400000001,96827.26000000001,0.0,4.095182200000003e6,0.0
FW,1,0,2,140,1.0,0,350000.0,253266.52000000016,96733.48,0.0,4.097995600000005e6,0.0
FW,1,0,2,143,1.0,0,350000.0,252372.87000000005,97627.12999999999,0.0,4.0711861000000015e6,0.0
FW,1,0,2,146,0.02,0,350000.0,252525.8000000001,97474.19999999998,0.0,4.0757740000000033e6,0.0
FW,1,0,2,149,1.0,0,350000.0,253356.3200000001,96643.68,0.0,4.100689600000003e6,0.0
FW,1,0,3,3,1.0,0,350000.0,249795.47000000015,100204.53,0.0,3.9938641000000043e6,0.0
FW,1,0,3,6,0.02,0,350000.0,249571.74000000022,100428.26000000005,0.0,3.9871522000000067e6,0.0
FW,1,0,3,9,1.0,0,350000.0,250374.43000000017,99625.57,0.0,4.011232900000005e6,0.0
FW,1,0,3,12,1.0,0,350000.0,249850.6200000001,100149.38,0.0,3.9955186000000034e6,0.0
FW,1,0,3,15,1.0,0,350000.0,250478.92000000022,99521.08,0.0,4.0143676000000066e6,0.0
FW,1,0,3,18,0.02,0,350000.0,250371.2400000001,99628.76000000002,0.0,4.011137200000003e6,0.0
