etapa,iter,miniIter,est,node,prob,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,15,0,1,1,1.0,191,191,0.0,2300.0,49.0,0.0,49.0,2300.0
FW,15,0,1,1,1.0,253,253,0.0,952.0,42.0,0.0,238.0,952.0
FW,15,0,1,1,1.0,257,257,0.0,2309.0,413.0,0.0,1160.0,2514.0
FW,15,0,1,1,1.0,273,273,0.0,4940.0,325.0,0.0,4965.0,4940.0
FW,15,0,1,1,1.0,294,294,70.65,826.0,157.0,157.0,0.0,826.0
FW,15,0,1,1,1.0,145,145,73.14,278.0,132.0,138.0,0.0,272.0
FW,15,0,1,1,1.0,281,281,171.60000000000002,199.0,81.0,78.0,3.0,199.0
FW,15,0,1,1,1.0,285,285,3330.34,1249.0,25566.0,25618.0,0.0,1249.0
FW,15,0,1,1,1.0,287,287,4209.12,2077.0,689.0,26307.0,0.0,2077.0
FW,15,0,1,1,1.0,99,99,28.8,105.0,62.0,72.0,24.0,71.0
FW,15,0,1,1,1.0,259,259,46.2,5.0,60.0,60.0,0.0,5.0
FW,15,0,1,1,1.0,252,252,73.8,1.0,0.0,60.0,0.0,1.0
FW,15,0,1,1,1.0,291,291,266.21999999999997,0.0,581.0,306.0,275.0,0.0
FW,15,0,1,1,1.0,247,247,36.24,217.0,161.0,151.0,0.0,227.0
FW,15,0,1,1,1.0,248,248,36.300000000000004,300.0,6.0,110.0,0.0,347.0
FW,15,0,1,1,1.0,261,261,29.04,95.0,11.0,121.0,0.0,95.0
FW,15,0,1,1,1.0,57,57,0.0,1817.0,306.0,0.0,650.0,1473.0
FW,15,0,1,1,1.0,117,117,0.0,134.0,19.0,0.0,0.0,153.0
FW,15,0,1,1,1.0,318,318,355.84,1.0,64.0,64.0,0.0,1.0
FW,15,0,1,1,1.0,120,120,32.64,832.0,32.0,64.0,0.0,800.0
FW,15,0,1,1,1.0,121,121,88.89999999999999,2921.0,82.0,127.0,0.0,2876.0
