"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"32";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;62;61,344;61,344;1,96;1,44;59,904;62,784;16,425;16,425;15,466;17,512;562,789;438,998;0,995;0,995;-0,028;-0,028;0;0;1;1;1;1;0,999;1;1
"33";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;63;139,308;139,308;1,96;3,153;136,155;142,461;35,971;35,971;33,871;38,351;562,789;438,998;0,819;0,819;-0,58;-0,58;0;0;1;1;1;1;0,998;1;1
"34";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;71;79,672;79,672;1,96;3,808;75,864;83,48;43,441;43,441;40,905;46,314;562,789;438,998;0,075;0,075;-0,62;-0,62;0;0;1;1;1;1;0,999;1;1
"35";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;72;4,89;4,89;1,96;0,17;4,72;5,06;1,944;1,944;1,83;2,072;562,789;438,998;0,526;0,526;-0,138;-0,138;0;0;1;1;1;1;1;0,999;1
"36";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;73;19,856;19,856;1,96;0,652;19,204;20,508;7,443;7,443;7,009;7,936;562,789;438,998;0,558;0,558;-0,175;-0,175;0;0;1;1;1;1;0,998;1;1
"37";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;74;719,664;719,664;1,96;26,654;693,01;746,318;304,088;304,088;286,336;324,204;562,789;438,998;0,618;0,618;-0,89;-0,89;0;0;1;1;1;1;1;1;1
"38";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;76;96,256;96,256;1,96;2,992;93,264;99,248;34,136;34,136;32,143;36,394;562,789;438,998;0,482;0,482;-0,415;-0,415;0;0;1;1;1;1;1;1;1
"39";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;77;143,018;143,018;1,96;15,142;127,876;158,16;172,75;172,75;162,665;184,178;562,789;438,998;1,514;1,514;1,291;1,291;0;0;1;1;1;1;1;1;1
"40";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;78;51,714;51,714;1,96;5,48;46,234;57,194;62,514;62,514;58,865;66,65;562,789;438,998;1,561;1,561;1,556;1,556;0;0;1;1;1;1;1;1;1
"41";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;81;139,356;139,356;1,96;14,203;125,153;153,559;162,043;162,043;152,583;172,762;562,789;438,998;1,525;1,525;1,36;1,36;0;0;1;1;1;1;1;1;1
"42";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;88;418,416;418,416;1,96;30,926;387,49;449,342;352,828;352,828;332,232;376,169;562,789;438,998;1,143;1,143;0,416;0,416;0;0;1;1;1;1;1;1;1
"43";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;89;75,484;75,484;1,96;5,499;69,985;80,983;62,736;62,736;59,074;66,887;562,789;438,998;1,295;1,295;1,026;1,026;0;0;1;1;1;1;0,999;1;1
"44";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;92;393,298;393,298;1,96;31,759;361,539;425,057;362,331;362,331;341,179;386,299;562,789;438,998;1,012;1,012;-0,215;-0,215;0;0;1;1;1;1;1;1;1
"45";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;93;44,612;44,612;1,96;3,708;40,904;48,32;42,302;42,302;39,832;45,1;562,789;438,998;1,431;1,431;1,521;1,521;0;0;1;1;1;1;0,999;1;1
"46";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;94;61,448;61,448;1,96;2,572;58,876;64,02;29,341;29,341;27,629;31,282;562,789;438,998;0,484;0,484;1,274;1,274;0;0;1;1;1;1;1;1;1
"47";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;97;85,324;85,324;1,96;7,973;77,351;93,297;90,967;90,967;85,656;96,984;562,789;438,998;1,748;1,748;2,008;2,008;0;0;1;1;1;1;1;1;1
"48";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;98;240,528;240,528;1,96;14,81;225,718;255,338;168,969;168,969;159,105;180,146;562,789;438,998;0,607;0,607;-0,372;-0,372;0;0;1;1;1;1;1;1;1
"49";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;99;75,298;75,298;1,96;0,992;74,306;76,29;11,322;11,322;10,661;12,071;562,789;438,998;0,299;0,299;-1,082;-1,082;0;0;1;1;1;1;1;1;1
"50";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;101;235,4;235,4;1,96;24,85;210,55;260,25;283,508;283,508;266,957;302,262;562,789;438,998;1,556;1,556;0,84;0,84;0;0;1;1;1;1;0,999;1;1
"51";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;102;428,808;428,808;1,96;35,942;392,866;464,75;410,051;410,051;386,114;437,177;562,789;438,998;1,307;1,307;0,369;0,369;0;0;1;1;1;1;1;1;1
"52";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;103;16,13;16,13;1,96;1,192;14,938;17,322;13,601;13,601;12,807;14,5;562,789;438,998;1,324;1,324;1,131;1,131;0;0;1;1;1;1;0,999;1;1
"53";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;104;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"54";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;109;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"55";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;110;41,74;41,74;1,96;0,987;40,753;42,727;11,255;11,255;10,598;11,999;562,789;438,998;0,132;0,132;-1,148;-1,148;0;0;1;1;1;1;1;1;1
"56";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;111;189,28;189,28;1,96;12,195;177,085;201,475;139,127;139,127;131,005;148,33;562,789;438,998;1,423;1,423;1,53;1,53;0;0;1;1;1;1;1;1;1
"57";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;112;2,124;2,124;1,96;0,285;1,839;2,409;3,248;3,248;3,059;3,463;562,789;438,998;2,186;2,186;4,369;4,369;0;0;1;1;1;1;0,996;1;1
"58";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;113;56,948;56,948;1,96;7,281;49,667;64,229;83,064;83,064;78,215;88,559;562,789;438,998;2,094;2,094;3,608;3,608;0;0;1;1;1;1;1;1;1
"59";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;114;65,4;65,4;1,96;8,307;57,093;73,707;94,773;94,773;89,241;101,043;562,789;438,998;2,063;2,063;3,419;3,419;0;0;1;1;1;1;1;1;1
"60";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;115;19,176;19,176;1,96;1,056;18,12;20,232;12,05;12,05;11,346;12,847;562,789;438,998;0,956;0,956;-0,18;-0,18;0;0;1;1;1;1;0,999;1;1
"61";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;116;3,68;3,68;1,96;0,066;3,614;3,746;0,749;0,749;0,706;0,799;562,789;438,998;0,57;0,57;-0,363;-0,363;0;0;1;1;1;1;0,986;0,998;1
"62";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;117;11,342;11,342;1,96;0,168;11,174;11,51;1,921;1,921;1,809;2,048;562,789;438,998;0,489;0,489;-0,338;-0,338;0;0;1;1;1;1;0,997;1;1
"63";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;118;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"64";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;119;20,938;20,938;1,96;0,314;20,624;21,252;3,579;3,579;3,37;3,816;562,789;438,998;0,527;0,527;-0,308;-0,308;0;0;1;1;1;1;0,998;1;1
"65";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;134;37,508;37,508;1,96;0,941;36,567;38,449;10,733;10,733;10,107;11,443;562,789;438,998;-0,155;-0,155;-1,227;-1,227;0;0;1;1;1;1;1;1;1
"66";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;141;186,11;186,11;1,96;5,401;180,709;191,511;61,613;61,613;58,017;65,689;562,789;438,998;1,012;1,012;0,075;0,075;0;0;1;1;1;1;0,999;1;1
"67";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;144;139,322;139,322;1,96;4,29;135,032;143,612;48,946;48,946;46,089;52,184;562,789;438,998;0,938;0,938;-0,046;-0,046;0;0;1;1;1;1;1;1;1
"68";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;145;135,16;135,16;1,96;1,516;133,644;136,676;17,292;17,292;16,282;18,436;562,789;438,998;1,087;1,087;1,527;1,527;0;0;1;1;1;1;0,998;1;1
"69";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;148;81,41;81,41;1,96;2,303;79,107;83,713;26,272;26,272;24,738;28,01;562,789;438,998;0,928;0,928;-0,05;-0,05;0;0;1;1;1;1;0,999;1;1
"70";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;149;119,682;119,682;1,96;1,812;117,87;121,494;20,667;20,667;19,461;22,034;562,789;438,998;0,67;0,67;0,25;0,25;0;0;1;1;1;1;0,998;1;1
"71";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;154;134,47;134,47;1,96;1,243;133,227;135,713;14,178;14,178;13,351;15,116;562,789;438,998;0,856;0,856;-0,343;-0,343;0;0;1;1;1;1;0,999;1;1
"72";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;155;52,81;52,81;1,96;2,215;50,595;55,025;25,27;25,27;23,795;26,942;562,789;438,998;0,031;0,031;-0,162;-0,162;0;0;1;1;1;1;1;1;1
"73";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;156;300,08;300,08;1,96;13,251;286,829;313,331;151,173;151,173;142,348;161,173;562,789;438,998;0,47;0,47;-0,847;-0,847;0;0;1;1;1;1;1;1;1
"74";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;158;30,728;30,728;1,96;1,101;29,627;31,829;12,559;12,559;11,826;13,39;562,789;438,998;-0,085;-0,085;-0,87;-0,87;0;0;1;1;1;1;0,998;1;1
"75";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;160;6,894;6,894;1,96;0,104;6,79;6,998;1,181;1,181;1,112;1,259;562,789;438,998;0,417;0,417;-0,313;-0,313;0;0;1;1;1;1;0,987;0,999;1
"76";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;161;58,846;58,846;1,96;0,857;57,989;59,703;9,778;9,778;9,207;10,425;562,789;438,998;0,522;0,522;-0,319;-0,319;0;0;1;1;1;1;1;1;1
"77";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;166;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
